Data;Wydatki budżetu państwa;Bezrobotni zarejestrowani;Przeciętna miesięczna nominalna emerytura i renta;Mieszkania oddane do użytkowania 
III 2010;79729,70;2076,70;1648,55;11392,00
IV 2010;106834,60;1973,80;1650,02;10805,00
V 2010;128917,00;1907,90;1651,49;8986,00
VI 2010;151019,90;1843,90;1654,60;9941,00
VII 2010;174555,50;1812,80;1654,89;11662,00
VIII 2010;197120,20;1800,20;1656,27;10549,00
IX 2010;220898,70;1812,60;1662,67;11684,00
X 2010;246240,40;1818,60;1665,79;11740,00
XI 2010;269480,30;1858,30;1666,48;12218,00
XII 2010;294893,90;1954,70;1667,58;14203,00
I 2011;27380,30;2105,00;1667,97;10282,00
II 2011;56428,80;2150,20;1673,05;8047,00
III 2011;80087,60;2133,90;1730,49;9171,00
IV 2011;109117,40;2043,50;1733,86;9473,00
V 2011;131668,40;1962,60;1733,51;8753,00
VI 2011;154884,60;1883,30;1736,33;8842,00
VII 2011;179432,20;1863,20;1736,16;10496,00
VIII 2011;201911,50;1855,30;1736,05;10901,00
IX 2011;226908,50;1861,70;1743,19;10874,00
X 2011;254410,10;1867,60;1745,97;14188,00
XI 2011;276538,50;1914,90;1745,81;13416,00
XII 2011;302681,60;1982,70;1744,25;16511,00
I 2012;32280,00;2121,50;1746,38;12468,00
II 2012;62763,80;2168,20;1750,12;11315,00
III 2012;86489,40;2141,90;1828,74;12509,00
IV 2012;118709,90;2072,60;1831,24;11085,00
V 2012;140536,00;2013,90;1833,38;10032,00
VI 2012;162806,40;1964,40;1834,25;10434,00
VII 2012;190404,00;1953,20;1833,63;11873,00
VIII 2012;212452,40;1964,70;1832,68;12961,00
IX 2012;235050,80;1979,00;1837,51;12128,00
X 2012;272239,50;1994,90;1843,44;15425,00
XI 2012;293377,30;2058,10;1841,43;15562,00
XII 2012;318001,80;2136,80;1839,06;17112,00
I 2013;34355,90;2295,70;1855,40;14059,00
II 2013;64485,80;2336,70;1849,00;10940,00
III 2013;85773,50;2314,50;1927,78;12156,00
IV 2013;118605,40;2255,70;1930,34;10616,00
V 2013;138743,30;2176,30;1929,67;9709,00
VI 2013;159606,50;2109,10;1930,54;10482,00
VII 2013;184449,50;2093,10;1933,21;12956,00
VIII 2013;207719,40;2083,20;1933,04;10462,00
IX 2013;234001,40;2083,10;1938,18;10722,00
X 2013;271001,70;2075,20;1944,74;14438,00
XI 2013;294374,40;2116,00;1940,34;12588,00
XII 2013;321345,30;2157,90;1943,35;16008,00
I 2014;31876,30;2260,70;1944,27;12511,00
II 2014;60438,10;2255,90;1948,53;12462,00
III 2014;84465,90;2182,20;1985,04;10589,00
IV 2014;116876,40;2079,00;2002,23;11646,00
V 2014;137604,30;1986,70;2004,72;8893,00
VI 2014;161620,00;1912,50;2002,60;10317,00
VII 2014;188937,50;1878,50;2000,99;13259,00
VIII 2014;209123,80;1853,20;1996,74;9144,00
IX 2014;231635,10;1821,90;2002,33;11321,00
X 2014;263036,70;1784,80;2004,15;14724,00
XI 2014;285083,10;1799,80;1999,71;13005,00
XII 2014;312520,20;1825,20;2002,69;15295,00
I 2015;28702,70;1918,60;2004,86;11748,00
II 2015;58482,90;1918,70;2006,36;9493,00
III 2015;84485,40;1860,60;2049,68;10462,00
IV 2015;112770,80;1782,20;2051,76;10435,00
V 2015;135914,60;1702,10;2051,96;10410,00
VI 2015;163162,80;1622,30;2047,97;11418,00
VII 2015;190071,10;1585,70;2055,26;12886,00
VIII 2015;213097,90;1563,50;2056,52;11215,00
IX 2015;241181,80;1539,40;2063,53;13264,00
X 2015;273399,00;1516,90;2068,45;14965,00
XI 2015;299892,90;1530,60;2066,31;13736,00
XII 2015;331743,40;1563,30;2068,27;17679,00
I 2016;28964,60;1647,50;2070,85;12771,00
II 2016;59263,00;1652,70;2070,19;12256,00
III 2016;86405,20;1600,50;2083,59;12396,00
IV 2016;116510,60;1521,80;2084,14;13711,00
V 2016;142610,30;1456,90;2084,94;10907,00
VI 2016;170294,60;1392,50;2082,58;11700,00
VII 2016;202952,70;1361,50;2084,81;12883,00
VIII 2016;229458,40;1346,90;2091,25;12728,00
IX 2016;259221,90;1324,10;2094,48;12665,00
X 2016;293270,00;1308,00;2096,87;16620,00
XI 2016;322055,00;1313,60;2095,63;16573,00
XII 2016;360843,10;1335,20;2096,74;18115,00
I 2017;30207,50;1397,10;2101,44;15330,00
II 2017;60086,40;1383,40;2099,40;11501,00
III 2017;87530,80;1324,20;2127,59;13672,00
IV 2017;117879,60;1252,70;2128,10;11296,00
V 2017;143492,00;1202,10;2132,10;13641,00
VI 2017;170841,40;1151,60;2128,49;12846,00
VII 2017;203754,20;1140,00;2131,09;17334,00
VIII 2017;230138,40;1136,10;2141,46;14404,00
IX 2017;258487,50;1117,10;2143,94;14210,00
X 2017;292351,60;1069,50;2172,21;17409,00
XI 2017;325675,60;1067,70;2190,40;18129,00
XII 2017;375768,50;1081,70;2158,59;18570,00
I 2018;26629,00;1133,70;2161,95;15005,00
II 2018;57559,50;1126,70;2156,47;14921,00
III 2018;85341,50;1092,20;2232,28;14708,00
IV 2018;115837,10;1042,50;2226,08;13861,00
V 2018;144423,20;1002,20;2225,56;11972,00
VI 2018;172472,30;967,90;2223,43;12319,00
VII 2018;213013,10;961,80;2222,94;16637,00
VIII 2018;242408,10;958,60;2243,88;16415,00
IX 2018;269678,40;947,40;2241,22;13914,00
X 2018;302937,70;937,30;2247,71;18871,00
XI 2018;332334,80;950,50;2240,29;16470,00
